m,n,k,p1,p2,p1_pct,p2_pct,tie_pct,games,p1_avg_runtime,p2_avg_runtime,p1_max_loops,p2_max_loops
3,3,3,mcts,mcts,34,12,54,50,0.0078,0.0368,10,50
3,3,3,mcts,mcts,34,12,54,50,0.0366,0.0075,50,10
3,3,3,mcts,mcts,34,12,54,50,0.0077,0.0720,10,100
3,3,3,mcts,mcts,16,18,66,50,0.0742,0.0077,100,10
3,3,3,mcts,mcts,20,14,66,50,0.0712,0.6900,100,1000
3,3,3,mcts,mcts,36,12,52,50,1.0001,0.0948,1000,100
3,4,3,mcts,mcts,36,22,42,50,0.0120,0.0514,10,50
3,4,3,mcts,mcts,42,18,40,50,0.0876,0.0175,50,10
3,4,3,mcts,mcts,64,22,14,50,0.0111,0.1021,10,100
3,4,3,mcts,mcts,54,22,24,50,0.0972,0.0097,100,10
3,4,3,mcts,mcts,36,24,40,50,0.1073,0.9938,100,1000
3,4,3,mcts,mcts,46,18,36,50,1.0522,0.0981,1000,100
4,4,3,mcts,mcts,46,44,10,50,0.0159,0.0725,10,50
4,4,3,mcts,mcts,52,32,16,50,0.0874,0.0166,50,10
4,4,3,mcts,mcts,54,32,14,50,0.0174,0.1553,10,100
4,4,3,mcts,mcts,64,22,14,50,0.1596,0.0160,100,10
4,4,3,mcts,mcts,68,22,10,50,0.1646,1.5918,100,1000
