m,n,k,p1,p2,p1_pct,p2_pct,tie_pct,games,p1_avg_runtime,p2_avg_runtime,p1_max_loops,p2_max_loops
7,7,3,mcts,mcts,55,45,0,20,0.0142,1.2304,5,500
7,7,3,mcts,mcts,60,40,0,20,2.2913,0.0141,500,5
7,7,4,mcts,mcts,45,45,10,20,0.0150,5.2270,5,500
7,7,4,mcts,mcts,40,55,5,20,1.4129,0.0155,500,5
7,7,5,mcts,mcts,20,5,75,20,0.0134,1.8998,5,500
7,7,5,mcts,mcts,10,10,80,20,1.2214,0.0133,500,5
7,7,6,mcts,mcts,0,5,95,20,0.0137,1.9950,5,500
7,7,6,mcts,mcts,5,0,95,20,1.2497,0.0138,500,5
6,6,3,mcts,mcts,45,55,0,20,0.0097,0.8521,5,500
6,6,3,mcts,mcts,85,15,0,20,0.8799,0.0095,500,5
6,6,4,mcts,mcts,30,35,35,20,0.0095,0.8311,5,500
6,6,4,mcts,mcts,35,45,20,20,0.8720,0.0095,500,5
6,6,5,mcts,mcts,5,5,90,20,0.0092,0.8130,5,500
6,6,5,mcts,mcts,10,0,90,20,0.8408,0.0089,500,5
6,6,6,mcts,mcts,0,0,100,20,0.0095,0.8785,5,500
6,6,6,mcts,mcts,0,0,100,20,0.8613,0.0090,500,5
5,5,3,mcts,mcts,60,40,0,20,0.0059,0.5081,5,500
5,5,3,mcts,mcts,70,30,0,20,0.5573,0.0063,500,5
5,5,4,mcts,mcts,10,5,85,20,0.0054,0.4940,5,500
5,5,4,mcts,mcts,35,25,40,20,0.5438,0.0060,500,5
5,5,5,mcts,mcts,0,0,100,20,0.0058,0.5333,5,500
5,5,5,mcts,mcts,0,0,100,20,0.7188,0.0059,500,5
5,4,3,mcts,mcts,45,35,20,20,0.0042,0.3512,5,500
5,4,3,mcts,mcts,50,35,15,20,0.4040,0.0042,500,5
5,4,4,mcts,mcts,10,0,90,20,0.0045,0.3768,5,500
5,4,4,mcts,mcts,15,5,80,20,0.4038,0.0042,500,5
4,4,3,mcts,mcts,55,40,5,20,0.0036,0.3060,5,500
4,4,3,mcts,mcts,45,40,15,20,0.3077,0.0033,500,5
4,4,4,mcts,mcts,15,0,85,20,0.0036,0.3723,5,500
4,4,4,mcts,mcts,5,5,90,20,0.3169,0.0033,500,5
3,4,3,mcts,mcts,25,10,65,20,0.0023,0.1900,5,500
3,4,3,mcts,mcts,60,15,25,20,0.2170,0.0022,500,5
3,3,3,mcts,mcts,20,20,60,20,0.0017,0.1524,5,500
3,3,3,mcts,mcts,10,15,75,20,0.1565,0.0017,500,5
